Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"BARD1","BRCA1 Associated RING Domain 1","Protein Coding","66","GC02M214725","4.93","/cgi-bin/carddisp.pl?gene=BARD1"
"MAX","MYC Associated Factor X","Protein Coding","67","GC14M065009","4.93","/cgi-bin/carddisp.pl?gene=MAX"
"NTN1","Netrin 1","Protein Coding","61","GC17P009021","4.87","/cgi-bin/carddisp.pl?gene=NTN1"
"IL2","Interleukin 2","Protein Coding","70","GC04M122451","4.72","/cgi-bin/carddisp.pl?gene=IL2"
"HDAC1","Histone Deacetylase 1","Protein Coding","77","GC01P032260","4.62","/cgi-bin/carddisp.pl?gene=HDAC1"
"RBL1","RB Transcriptional Corepressor Like 1","Protein Coding","61","GC20M036996","4.62","/cgi-bin/carddisp.pl?gene=RBL1"
"IGFBP2","Insulin Like Growth Factor Binding Protein 2","Protein Coding","63","GC02P216632","4.61","/cgi-bin/carddisp.pl?gene=IGFBP2"
"AURKB","Aurora Kinase B","Protein Coding","72","GC17M008378","4.48","/cgi-bin/carddisp.pl?gene=AURKB"
"IFNB1","Interferon Beta 1","Protein Coding","63","GC09M021077","4.48","/cgi-bin/carddisp.pl?gene=IFNB1"
"POU4F2","POU Class 4 Homeobox 2","Protein Coding","55","GC04P146638","4.48","/cgi-bin/carddisp.pl?gene=POU4F2"
"CASC15","Cancer Susceptibility Candidate 15 (Non-Protein Coding)","RNA Gene","18","GC06P021669","4.48","/cgi-bin/carddisp.pl?gene=CASC15"
"IKBKAP","Inhibitor Of Kappa Light Polypeptide Gene Enhancer In B-Cells, Kinase Complex-Associated Protein","Protein Coding","61","GC09M108867","4.33","/cgi-bin/carddisp.pl?gene=IKBKAP"
"BAMBI","BMP And Activin Membrane Bound Inhibitor","Protein Coding","64","GC10P028685","4.33","/cgi-bin/carddisp.pl?gene=BAMBI"
"CCND2","Cyclin D2","Protein Coding","72","GC12P005011","4.3","/cgi-bin/carddisp.pl?gene=CCND2"
"POMC","Proopiomelanocortin","Protein Coding","72","GC02M025160","4.3","/cgi-bin/carddisp.pl?gene=POMC"
"RBL2","RB Transcriptional Corepressor Like 2","Protein Coding","63","GC16P053467","4.3","/cgi-bin/carddisp.pl?gene=RBL2"
"SERPINF1","Serpin Family F Member 1","Protein Coding","63","GC17P001761","4.3","/cgi-bin/carddisp.pl?gene=SERPINF1"
"PRDM2","PR/SET Domain 2","Protein Coding","61","GC01P013776","4.3","/cgi-bin/carddisp.pl?gene=PRDM2"
"SDHA","Succinate Dehydrogenase Complex Flavoprotein Subunit A","Protein Coding","67","GC05P000208","4.25","/cgi-bin/carddisp.pl?gene=SDHA"
"SDHD","Succinate Dehydrogenase Complex Subunit D","Protein Coding","64","GC11P112087","4.25","/cgi-bin/carddisp.pl?gene=SDHD"
"ERCC4","ERCC Excision Repair 4, Endonuclease Catalytic Subunit","Protein Coding","63","GC16P014014","4.25","/cgi-bin/carddisp.pl?gene=ERCC4"
"FANCD2","Fanconi Anemia Complementation Group D2","Protein Coding","61","GC03P010026","4.25","/cgi-bin/carddisp.pl?gene=FANCD2"
"FANCI","Fanconi Anemia Complementation Group I","Protein Coding","57","GC15P089243","4.25","/cgi-bin/carddisp.pl?gene=FANCI"
"BCAR1","BCAR1, Cas Family Scaffolding Protein","Protein Coding","63","GC16M075228","4.16","/cgi-bin/carddisp.pl?gene=BCAR1"
"CCND3","Cyclin D3","Protein Coding","70","GC06M041934","4.08","/cgi-bin/carddisp.pl?gene=CCND3"
"E2F4","E2F Transcription Factor 4","Protein Coding","66","GC16P067226","4.08","/cgi-bin/carddisp.pl?gene=E2F4"
"RBBP4","RB Binding Protein 4, Chromatin Remodeling Factor","Protein Coding","63","GC01P032651","4.08","/cgi-bin/carddisp.pl?gene=RBBP4"
"TFDP1","Transcription Factor Dp-1","Protein Coding","63","GC13P113584","4.08","/cgi-bin/carddisp.pl?gene=TFDP1"
"ARID4A","AT-Rich Interaction Domain 4A","Protein Coding","55","GC14P058298","4.08","/cgi-bin/carddisp.pl?gene=ARID4A"
"SNX27","Sorting Nexin Family Member 27","Protein Coding","54","GC01P151585","4.08","/cgi-bin/carddisp.pl?gene=SNX27"
"BCL2","BCL2, Apoptosis Regulator","Protein Coding","77","GC18M063123","4","/cgi-bin/carddisp.pl?gene=BCL2"
"SMN1","Survival Of Motor Neuron 1, Telomeric","Protein Coding","61","GC05P070924","3.94","/cgi-bin/carddisp.pl?gene=SMN1"
"PTEN","Phosphatase And Tensin Homolog","Protein Coding","77","GC10P087863","3.83","/cgi-bin/carddisp.pl?gene=PTEN"
"CASZ1","Castor Zinc Finger 1","Protein Coding","52","GC01M010642","3.83","/cgi-bin/carddisp.pl?gene=CASZ1"
"PHLDA2","Pleckstrin Homology Like Domain Family A Member 2","Protein Coding","53","GC11M002928","3.8","/cgi-bin/carddisp.pl?gene=PHLDA2"
"GALP","Galanin Like Peptide","Protein Coding","49","GC19P056176","3.8","/cgi-bin/carddisp.pl?gene=GALP"
"LOC102724250","Neuroblastoma Breakpoint Family Member 1","Protein Coding","6","GC01M7Z0004","3.77","/cgi-bin/carddisp.pl?gene=LOC102724250"
"BRCA2","BRCA2, DNA Repair Associated","Protein Coding","71","GC13P032315","3.71","/cgi-bin/carddisp.pl?gene=BRCA2"
"FH","Fumarate Hydratase","Protein Coding","69","GC01M241499","3.71","/cgi-bin/carddisp.pl?gene=FH"
"BRIP1","BRCA1 Interacting Protein C-Terminal Helicase 1","Protein Coding","68","GC17M061679","3.71","/cgi-bin/carddisp.pl?gene=BRIP1"
"FANCA","Fanconi Anemia Complementation Group A","Protein Coding","67","GC16M089740","3.71","/cgi-bin/carddisp.pl?gene=FANCA"
"FANCC","Fanconi Anemia Complementation Group C","Protein Coding","66","GC09M095099","3.71","/cgi-bin/carddisp.pl?gene=FANCC"
"SDHC","Succinate Dehydrogenase Complex Subunit C","Protein Coding","63","GC01P161285","3.71","/cgi-bin/carddisp.pl?gene=SDHC"
"UBE2T","Ubiquitin Conjugating Enzyme E2 T","Protein Coding","63","GC01M202300","3.71","/cgi-bin/carddisp.pl?gene=UBE2T"
"FANCE","Fanconi Anemia Complementation Group E","Protein Coding","61","GC06P038979","3.71","/cgi-bin/carddisp.pl?gene=FANCE"
"FANCL","Fanconi Anemia Complementation Group L","Protein Coding","61","GC02M058127","3.71","/cgi-bin/carddisp.pl?gene=FANCL"
"FANCG","Fanconi Anemia Complementation Group G","Protein Coding","61","GC09M035073","3.71","/cgi-bin/carddisp.pl?gene=FANCG"
"FANCF","Fanconi Anemia Complementation Group F","Protein Coding","60","GC11M022600","3.71","/cgi-bin/carddisp.pl?gene=FANCF"
"RAD51C","RAD51 Paralog C","Protein Coding","59","GC17P058692","3.71","/cgi-bin/carddisp.pl?gene=RAD51C"
"FANCM","Fanconi Anemia Complementation Group M","Protein Coding","58","GC14P045135","3.71","/cgi-bin/carddisp.pl?gene=FANCM"
"SDHAF2","Succinate Dehydrogenase Complex Assembly Factor 2","Protein Coding","56","GC11P061430","3.71","/cgi-bin/carddisp.pl?gene=SDHAF2"
"FANCB","Fanconi Anemia Complementation Group B","Protein Coding","55","GC0XM014796","3.71","/cgi-bin/carddisp.pl?gene=FANCB"
"TMEM127","Transmembrane Protein 127","Protein Coding","55","GC02M096248","3.71","/cgi-bin/carddisp.pl?gene=TMEM127"
"SLX4","SLX4 Structure-Specific Endonuclease Subunit","Protein Coding","51","GC16M003581","3.71","/cgi-bin/carddisp.pl?gene=SLX4"
"EDNRB","Endothelin Receptor Type B","Protein Coding","73","GC13M077895","3.59","/cgi-bin/carddisp.pl?gene=EDNRB"
"CCNB1","Cyclin B1","Protein Coding","72","GC05P069167","3.59","/cgi-bin/carddisp.pl?gene=CCNB1"
"CRH","Corticotropin Releasing Hormone","Protein Coding","64","GC08M066208","3.59","/cgi-bin/carddisp.pl?gene=CRH"
"FABP4","Fatty Acid Binding Protein 4","Protein Coding","68","GC08M081478","3.53","/cgi-bin/carddisp.pl?gene=FABP4"
"TAF1","TATA-Box Binding Protein Associated Factor 1","Protein Coding","66","GC0XP071366","3.53","/cgi-bin/carddisp.pl?gene=TAF1"
"GPC1","Glypican 1","Protein Coding","65","GC02P240435","3.53","/cgi-bin/carddisp.pl?gene=GPC1"
"E2F3","E2F Transcription Factor 3","Protein Coding","64","GC06P020402","3.53","/cgi-bin/carddisp.pl?gene=E2F3"
"RBBP8","RB Binding Protein 8, Endonuclease","Protein Coding","63","GC18P022798","3.53","/cgi-bin/carddisp.pl?gene=RBBP8"
"GPC6","Glypican 6","Protein Coding","63","GC13P093226","3.53","/cgi-bin/carddisp.pl?gene=GPC6"
"E2F2","E2F Transcription Factor 2","Protein Coding","62","GC01M023506","3.53","/cgi-bin/carddisp.pl?gene=E2F2"
"RBBP7","RB Binding Protein 7, Chromatin Remodeling Factor","Protein Coding","61","GC0XM016772","3.53","/cgi-bin/carddisp.pl?gene=RBBP7"
"GPC5","Glypican 5","Protein Coding","59","GC13P091398","3.53","/cgi-bin/carddisp.pl?gene=GPC5"
"KDM5A","Lysine Demethylase 5A","Protein Coding","57","GC12M000280","3.53","/cgi-bin/carddisp.pl?gene=KDM5A"
"RBBP5","RB Binding Protein 5, Histone Lysine Methyltransferase Complex Subunit","Protein Coding","56","GC01M205055","3.53","/cgi-bin/carddisp.pl?gene=RBBP5"
"RBBP6","RB Binding Protein 6, Ubiquitin Ligase","Protein Coding","56","GC16P024458","3.53","/cgi-bin/carddisp.pl?gene=RBBP6"
"OSBPL2","Oxysterol Binding Protein Like 2","Protein Coding","56","GC20P062231","3.53","/cgi-bin/carddisp.pl?gene=OSBPL2"
"RBP3","Retinol Binding Protein 3","Protein Coding","56","GC10P047348","3.53","/cgi-bin/carddisp.pl?gene=RBP3"
"OSBPL3","Oxysterol Binding Protein Like 3","Protein Coding","55","GC07M024836","3.53","/cgi-bin/carddisp.pl?gene=OSBPL3"
"OSBPL7","Oxysterol Binding Protein Like 7","Protein Coding","52","GC17M047807","3.53","/cgi-bin/carddisp.pl?gene=OSBPL7"
"RBBP9","RB Binding Protein 9, Serine Hydrolase","Protein Coding","50","GC20M018415","3.53","/cgi-bin/carddisp.pl?gene=RBBP9"
"GRN","Granulin Precursor","Protein Coding","68","GC17P044345","3.44","/cgi-bin/carddisp.pl?gene=GRN"
"APP","Amyloid Beta Precursor Protein","Protein Coding","77","GC21M025880","3.4","/cgi-bin/carddisp.pl?gene=APP"
"MAP3K9","Mitogen-Activated Protein Kinase Kinase Kinase 9","Protein Coding","61","GC14M070722","3.39","/cgi-bin/carddisp.pl?gene=MAP3K9"
"ABR","Active BCR-Related","Protein Coding","58","GC17M001003","3.39","/cgi-bin/carddisp.pl?gene=ABR"
"CXCR3","C-X-C Motif Chemokine Receptor 3","Protein Coding","66","GC0XM071615","3.27","/cgi-bin/carddisp.pl?gene=CXCR3"
"VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","76","GC06P043737","3.27","/cgi-bin/carddisp.pl?gene=VEGFA"
"ING1","Inhibitor Of Growth Family Member 1","Protein Coding","61","GC13P110712","3.17","/cgi-bin/carddisp.pl?gene=ING1"
"IGF1","Insulin Like Growth Factor 1","Protein Coding","72","GC12M102395","3.08","/cgi-bin/carddisp.pl?gene=IGF1"
"PRKCZ","Protein Kinase C Zeta","Protein Coding","75","GC01P002050","3.04","/cgi-bin/carddisp.pl?gene=PRKCZ"
"WT1","Wilms Tumor 1","Protein Coding","72","GC11M032365","3.04","/cgi-bin/carddisp.pl?gene=WT1"
"APC","APC, WNT Signaling Pathway Regulator","Protein Coding","72","GC05P112707","3.04","/cgi-bin/carddisp.pl?gene=APC"
"GPI","Glucose-6-Phosphate Isomerase","Protein Coding","70","GC19P034359","3.04","/cgi-bin/carddisp.pl?gene=GPI"
"SMPD1","Sphingomyelin Phosphodiesterase 1","Protein Coding","69","GC11P006390","3.04","/cgi-bin/carddisp.pl?gene=SMPD1"
"NR0B1","Nuclear Receptor Subfamily 0 Group B Member 1","Protein Coding","67","GC0XM030322","3.04","/cgi-bin/carddisp.pl?gene=NR0B1"
"PAX3","Paired Box 3","Protein Coding","66","GC02M222199","3.04","/cgi-bin/carddisp.pl?gene=PAX3"
"MEN1","Menin 1","Protein Coding","66","GC11M064821","3.04","/cgi-bin/carddisp.pl?gene=MEN1"
"CTCF","CCCTC-Binding Factor","Protein Coding","64","GC16P067563","3.04","/cgi-bin/carddisp.pl?gene=CTCF"
"RNMT","RNA Guanine-7 Methyltransferase","Protein Coding","62","GC18P013716","3.04","/cgi-bin/carddisp.pl?gene=RNMT"
"SPTBN1","Spectrin Beta, Non-Erythrocytic 1","Protein Coding","62","GC02P054456","3.04","/cgi-bin/carddisp.pl?gene=SPTBN1"
"MAF","MAF BZIP Transcription Factor","Protein Coding","61","GC16M079212","3.04","/cgi-bin/carddisp.pl?gene=MAF"
"PMS1","PMS1 Homolog 1, Mismatch Repair System Component","Protein Coding","56","GC02P189784","3.04","/cgi-bin/carddisp.pl?gene=PMS1"
"NAP1L4","Nucleosome Assembly Protein 1 Like 4","Protein Coding","55","GC11M002944","3.04","/cgi-bin/carddisp.pl?gene=NAP1L4"
"CXCL9","C-X-C Motif Chemokine Ligand 9","Protein Coding","55","GC04M076001","3.04","/cgi-bin/carddisp.pl?gene=CXCL9"
"ADCY10","Adenylate Cyclase 10, Soluble","Protein Coding","62","GC01M167778","3.03","/cgi-bin/carddisp.pl?gene=ADCY10"
"OPRD1","Opioid Receptor Delta 1","Protein Coding","65","GC01P028826","2.98","/cgi-bin/carddisp.pl?gene=OPRD1"
"TNF","Tumor Necrosis Factor","Protein Coding","79","GC06P031655","2.93","/cgi-bin/carddisp.pl?gene=TNF"
"CDK6","Cyclin Dependent Kinase 6","Protein Coding","76","GC07M092604","2.84","/cgi-bin/carddisp.pl?gene=CDK6"
"BAX","BCL2 Associated X, Apoptosis Regulator","Protein Coding","71","GC19P048954","2.83","/cgi-bin/carddisp.pl?gene=BAX"
"MAPT","Microtubule Associated Protein Tau","Protein Coding","77","GC17P045894","2.78","/cgi-bin/carddisp.pl?gene=MAPT"
"BIRC5","Baculoviral IAP Repeat Containing 5","Protein Coding","70","GC17P078214","2.78","/cgi-bin/carddisp.pl?gene=BIRC5"
"TNFSF10","Tumor Necrosis Factor Superfamily Member 10","Protein Coding","71","GC03M172505","2.72","/cgi-bin/carddisp.pl?gene=TNFSF10"
"GAP43","Growth Associated Protein 43","Protein Coding","63","GC03P115623","2.72","/cgi-bin/carddisp.pl?gene=GAP43"
"HIF1A","Hypoxia Inducible Factor 1 Alpha Subunit","Protein Coding","72","GC14P061695","2.67","/cgi-bin/carddisp.pl?gene=HIF1A"
"PPP2R5B","Protein Phosphatase 2 Regulatory Subunit B'Beta","Protein Coding","56","GC11P064918","2.62","/cgi-bin/carddisp.pl?gene=PPP2R5B"
"ULK4","Unc-51 Like Kinase 4","Protein Coding","55","GC03M041265","2.62","/cgi-bin/carddisp.pl?gene=ULK4"
"CDCA7L","Cell Division Cycle Associated 7 Like","Protein Coding","55","GC07M021900","2.62","/cgi-bin/carddisp.pl?gene=CDCA7L"
"CREB3L2","CAMP Responsive Element Binding Protein 3 Like 2","Protein Coding","55","GC07M137874","2.62","/cgi-bin/carddisp.pl?gene=CREB3L2"
"MEMO1","Mediator Of Cell Motility 1","Protein Coding","53","GC02M031865","2.62","/cgi-bin/carddisp.pl?gene=MEMO1"
"AHNAK","AHNAK Nucleoprotein","Protein Coding","52","GC11M062495","2.62","/cgi-bin/carddisp.pl?gene=AHNAK"
"MIR1908","MicroRNA 1908","RNA Gene","27","GC11M061815","2.62","/cgi-bin/carddisp.pl?gene=MIR1908"
"MAPK8","Mitogen-Activated Protein Kinase 8","Protein Coding","76","GC10P048306","2.61","/cgi-bin/carddisp.pl?gene=MAPK8"
"ACHE","Acetylcholinesterase (Cartwright Blood Group)","Protein Coding","70","GC07M100889","2.61","/cgi-bin/carddisp.pl?gene=ACHE"
"ABCB1","ATP Binding Cassette Subfamily B Member 1","Protein Coding","77","GC07M087504","2.55","/cgi-bin/carddisp.pl?gene=ABCB1"
"FOS","Fos Proto-Oncogene, AP-1 Transcription Factor Subunit","Protein Coding","73","GC14P075278","2.55","/cgi-bin/carddisp.pl?gene=FOS"
"IFNG","Interferon Gamma","Protein Coding","72","GC12M068064","2.55","/cgi-bin/carddisp.pl?gene=IFNG"
"AKT3","AKT Serine/Threonine Kinase 3","Protein Coding","77","GC01M243488","2.5","/cgi-bin/carddisp.pl?gene=AKT3"
"ACTB","Actin Beta","Protein Coding","73","GC07M005527","2.5","/cgi-bin/carddisp.pl?gene=ACTB"
"ACTG1","Actin Gamma 1","Protein Coding","72","GC17M081509","2.5","/cgi-bin/carddisp.pl?gene=ACTG1"
"PRKAR1A","Protein Kinase CAMP-Dependent Type I Regulatory Subunit Alpha","Protein Coding","72","GC17P068414","2.5","/cgi-bin/carddisp.pl?gene=PRKAR1A"
"REN","Renin","Protein Coding","71","GC01M204123","2.5","/cgi-bin/carddisp.pl?gene=REN"
"CYP17A1","Cytochrome P450 Family 17 Subfamily A Member 1","Protein Coding","71","GC10M102830","2.5","/cgi-bin/carddisp.pl?gene=CYP17A1"
"TNFSF13B","Tumor Necrosis Factor Superfamily Member 13b","Protein Coding","71","GC13P108251","2.5","/cgi-bin/carddisp.pl?gene=TNFSF13B"
"ITGAM","Integrin Subunit Alpha M","Protein Coding","70","GC16P031271","2.5","/cgi-bin/carddisp.pl?gene=ITGAM"
"NR5A1","Nuclear Receptor Subfamily 5 Group A Member 1","Protein Coding","70","GC09M124481","2.5","/cgi-bin/carddisp.pl?gene=NR5A1"
"KCNQ1","Potassium Voltage-Gated Channel Subfamily Q Member 1","Protein Coding","70","GC11P002444","2.5","/cgi-bin/carddisp.pl?gene=KCNQ1"
"ABCC8","ATP Binding Cassette Subfamily C Member 8","Protein Coding","68","GC11M017392","2.5","/cgi-bin/carddisp.pl?gene=ABCC8"
"CYP11A1","Cytochrome P450 Family 11 Subfamily A Member 1","Protein Coding","68","GC15M074337","2.5","/cgi-bin/carddisp.pl?gene=CYP11A1"
"HTR1A","5-Hydroxytryptamine Receptor 1A","Protein Coding","67","GC05M063960","2.5","/cgi-bin/carddisp.pl?gene=HTR1A"
"STAR","Steroidogenic Acute Regulatory Protein","Protein Coding","66","GC08M038120","2.5","/cgi-bin/carddisp.pl?gene=STAR"
"TNFSF13","Tumor Necrosis Factor Superfamily Member 13","Protein Coding","66","GC17P007558","2.5","/cgi-bin/carddisp.pl?gene=TNFSF13"
"TNNI2","Troponin I2, Fast Skeletal Type","Protein Coding","65","GC11P001839","2.5","/cgi-bin/carddisp.pl?gene=TNNI2"
"CYP11B1","Cytochrome P450 Family 11 Subfamily B Member 1","Protein Coding","65","GC08M142872","2.5","/cgi-bin/carddisp.pl?gene=CYP11B1"
"CXCL10","C-X-C Motif Chemokine Ligand 10","Protein Coding","65","GC04M076021","2.5","/cgi-bin/carddisp.pl?gene=CXCL10"
"NUP98","Nucleoporin 98","Protein Coding","64","GC11M003700","2.5","/cgi-bin/carddisp.pl?gene=NUP98"
"SELL","Selectin L","Protein Coding","64","GC01M169659","2.5","/cgi-bin/carddisp.pl?gene=SELL"
"CYP21A2","Cytochrome P450 Family 21 Subfamily A Member 2","Protein Coding","64","GC06P032073","2.5","/cgi-bin/carddisp.pl?gene=CYP21A2"
"LIAS","Lipoic Acid Synthetase","Protein Coding","62","GC04P039463","2.5","/cgi-bin/carddisp.pl?gene=LIAS"
"PLAGL1","PLAG1 Like Zinc Finger 1","Protein Coding","61","GC06M143884","2.5","/cgi-bin/carddisp.pl?gene=PLAGL1"
"PCNT","Pericentrin","Protein Coding","61","GC21P046324","2.5","/cgi-bin/carddisp.pl?gene=PCNT"
"COL11A1","Collagen Type XI Alpha 1 Chain","Protein Coding","61","GC01M102876","2.5","/cgi-bin/carddisp.pl?gene=COL11A1"
"UBE3B","Ubiquitin Protein Ligase E3B","Protein Coding","60","GC12P109477","2.5","/cgi-bin/carddisp.pl?gene=UBE3B"
"PNPLA8","Patatin Like Phospholipase Domain Containing 8","Protein Coding","59","GC07M108470","2.5","/cgi-bin/carddisp.pl?gene=PNPLA8"
"WASF3","WAS Protein Family Member 3","Protein Coding","59","GC13P026557","2.5","/cgi-bin/carddisp.pl?gene=WASF3"
"MFAP4","Microfibrillar Associated Protein 4","Protein Coding","59","GC17M019286","2.5","/cgi-bin/carddisp.pl?gene=MFAP4"
"SRPX2","Sushi Repeat Containing Protein, X-Linked 2","Protein Coding","58","GC0XP100648","2.5","/cgi-bin/carddisp.pl?gene=SRPX2"
"NLRP2","NLR Family Pyrin Domain Containing 2","Protein Coding","58","GC19P054953","2.5","/cgi-bin/carddisp.pl?gene=NLRP2"
"CXCL11","C-X-C Motif Chemokine Ligand 11","Protein Coding","58","GC04M076033","2.5","/cgi-bin/carddisp.pl?gene=CXCL11"
"SLC22A18","Solute Carrier Family 22 Member 18","Protein Coding","57","GC11P002920","2.5","/cgi-bin/carddisp.pl?gene=SLC22A18"
"SIX3","SIX Homeobox 3","Protein Coding","57","GC02P044941","2.5","/cgi-bin/carddisp.pl?gene=SIX3"
"CUL7","Cullin 7","Protein Coding","57","GC06M043037","2.5","/cgi-bin/carddisp.pl?gene=CUL7"
"MMP23B","Matrix Metallopeptidase 23B","Protein Coding","55","GC01P001631","2.5","/cgi-bin/carddisp.pl?gene=MMP23B"
"INPP5E","Inositol Polyphosphate-5-Phosphatase E","Protein Coding","55","GC09M136428","2.5","/cgi-bin/carddisp.pl?gene=INPP5E"
"GRHL2","Grainyhead Like Transcription Factor 2","Protein Coding","55","GC08P101492","2.5","/cgi-bin/carddisp.pl?gene=GRHL2"
"TRPM5","Transient Receptor Potential Cation Channel Subfamily M Member 5","Protein Coding","55","GC11M002425","2.5","/cgi-bin/carddisp.pl?gene=TRPM5"
"ZFP57","ZFP57 Zinc Finger Protein","Protein Coding","54","GC06M029640","2.5","/cgi-bin/carddisp.pl?gene=ZFP57"
"FKTN","Fukutin","Protein Coding","53","GC09P105558","2.5","/cgi-bin/carddisp.pl?gene=FKTN"
"PRDM6","PR/SET Domain 6","Protein Coding","53","GC05P123035","2.5","/cgi-bin/carddisp.pl?gene=PRDM6"
"PLCH2","Phospholipase C Eta 2","Protein Coding","53","GC01P002425","2.5","/cgi-bin/carddisp.pl?gene=PLCH2"
"ASCL2","Achaete-Scute Family BHLH Transcription Factor 2","Protein Coding","52","GC11M002289","2.5","/cgi-bin/carddisp.pl?gene=ASCL2"
"TSPAN32","Tetraspanin 32","Protein Coding","52","GC11P002302","2.5","/cgi-bin/carddisp.pl?gene=TSPAN32"
"TBC1D24","TBC1 Domain Family Member 24","Protein Coding","52","GC16P002475","2.5","/cgi-bin/carddisp.pl?gene=TBC1D24"
"NAALADL2","N-Acetylated Alpha-Linked Acidic Dipeptidase Like 2","Protein Coding","50","GC03P174438","2.5","/cgi-bin/carddisp.pl?gene=NAALADL2"
"OBSL1","Obscurin Like 1","Protein Coding","50","GC02M219550","2.5","/cgi-bin/carddisp.pl?gene=OBSL1"
"MRPL23","Mitochondrial Ribosomal Protein L23","Protein Coding","50","GC11P001972","2.5","/cgi-bin/carddisp.pl?gene=MRPL23"
"TSSC4","Tumor Suppressing Subtransferable Candidate 4","Protein Coding","50","GC11P002400","2.5","/cgi-bin/carddisp.pl?gene=TSSC4"
"AJAP1","Adherens Junctions Associated Protein 1","Protein Coding","50","GC01P004714","2.5","/cgi-bin/carddisp.pl?gene=AJAP1"
"USB1","U6 SnRNA Biogenesis Phosphodiesterase 1","Protein Coding","50","GC16P057999","2.5","/cgi-bin/carddisp.pl?gene=USB1"
"CTTNBP2","Cortactin Binding Protein 2","Protein Coding","50","GC07M117710","2.5","/cgi-bin/carddisp.pl?gene=CTTNBP2"
"LUZP1","Leucine Zipper Protein 1","Protein Coding","49","GC01M023085","2.5","/cgi-bin/carddisp.pl?gene=LUZP1"
"ZNF214","Zinc Finger Protein 214","Protein Coding","49","GC11M007020","2.5","/cgi-bin/carddisp.pl?gene=ZNF214"
"KLHL17","Kelch Like Family Member 17","Protein Coding","48","GC01P000960","2.5","/cgi-bin/carddisp.pl?gene=KLHL17"
"ZNF215","Zinc Finger Protein 215","Protein Coding","46","GC11P006947","2.5","/cgi-bin/carddisp.pl?gene=ZNF215"
